tiempo;valor;maker;bp;dx;sq;ma
3.88;1.674804688;0;-0.001523828;1.391129539;1.935241394;1.789375683
3.93;1.674804688;0;0.007229891;-0.670581309;0.449679293;1.236962463
5.26;1.674804688;0;-0.022420227;0.063997501;0.00409568;4.194305594
5.28;1.674804688;0;-0.016650071;0.858331785;0.736733453;1.338294033
5.295;1.674804688;0;0.000638498;1.640727792;2.691987687;1.132338508
6.1;1.674804688;0;0.027843263;-0.05440351;0.002959742;54.24094369
6.135;1.674804688;0;-0.01297191;-0.761191886;0.579413088;15.90555147
6.805;1.674804688;0;0.048937794;-5.002435;25.02435593;7.722440093
7.085;1.674804688;0;0.014214694;-1.169027395;1.36662505;30.61243464
7.11;1.674804688;0;-0.011388557;-0.456277465;0.208189125;10.88698537
9.1;1.674804688;0;-0.009333043;-1.084427747;1.175983538;15.23954474
9.15;1.674804688;0;-0.017353953;0.468069357;0.219088923;1.072700343
9.96;1.674804688;0;0.03899389;-16.95745679;287.5553408;71.30666525
10.08;1.674804688;0;0.004357359;-0.329455916;0.108541201;0.020324467
10.11;1.674804688;0;-0.008835232;-0.555011392;0.308037645;0.066679828
12.215;1.674804688;0;0.003982708;-1.628603684;2.65234996;24.14099649
12.22;1.674804688;0;-0.00416031;-1.489839893;2.219622906;17.51893517
12.93;1.674804688;0;0.063926498;4.295539933;18.45166332;4.412426106
13.385;1.674804688;0;0.02661205;-2.41525221;5.833443239;1.646931816
14.285;1.674804688;0;-0.012779032;-0.721333082;0.520321415;11.26679874
14.305;1.674804688;0;-0.021208468;-0.054753592;0.002997956;8.198700416
15.245;1.674804688;0;0.009336407;-1.861616289;3.465615208;38.63546763
15.385;1.674804688;0;0.021323069;-2.556222897;6.5342755;1.989235093
16.69;1.674804688;0;0.045625216;-1.090244404;1.18863286;1.438358072
17.17;1.674804688;0;0.011036576;1.46982562;2.160387353;73.88433976
17.925;1.674804688;0;0.081637557;-4.260806765;18.15447429;5.515056926
18.295;1.674804688;0;0.001301088;1.740887853;3.030690516;1.667863083
18.65;1.674804688;0;0.03795707;1.882750229;3.544748426;1.880435007
18.67;1.674804688;0;0.056750962;-0.694851014;0.482817932;1.944083927
18.88;1.674804688;0;0.11242754;-0.239406394;0.057315422;3.897435613
18.895;1.674804688;0;0.081882821;-4.882335864;23.83720349;5.300489262
19.16;1.674804688;0;0.044575816;1.032731391;1.066534125;53.42266676
19.925;1.674804688;0;0.061821632;4.405006996;19.40408663;3.866150456
20.25;1.674804688;0;-0.000584156;-2.453536806;6.019842859;27.48742067
20.27;1.674804688;0;-0.036781194;-0.443103138;0.196340391;16.31570309
21.025;1.674804688;0;0.010961701;-4.020089597;16.16112037;7.542922894
21.27;1.674804688;0;0.02368665;1.328763796;1.765613224;52.29526527
22.2;1.674804688;0;0.164860504;11.99368031;143.8483673;37.52263985
24.485;1.674804688;0;-0.020887138;0.107185522;0.011488736;1.16473307
25.085;1.674804688;0;0.040777273;4.848104087;23.50411324;3.613802985
25.45;1.674804688;0;-0.014989723;0.140791914;0.019822363;8.082323914
26.025;1.674804688;0;0.067268366;4.748645365;22.54963281;5.537861725
26.2;1.674804688;0;0.014714662;-14.97277883;224.1841059;61.56260471
26.365;1.674804688;0;-0.009956651;-0.698831318;0.488365211;12.39443224
27.21;1.674804688;0;0.015146303;1.668134825;2.782673794;50.81164882
27.215;1.674804688;0;0.023486977;1.292451328;1.670430436;48.99843574
27.37;1.674804688;0;0.019300058;-0.873049929;0.762216178;1.096803828
28.19;1.674804688;0;-0.030550841;0.721912223;0.521157258;5.45136537
29.23;1.674804688;0;0.047574521;-1.707536191;2.915679843;1.512274365
29.955;1.674804688;0;-0.005578031;-3.672548147;13.48760989;8.170786254
